file,shot_id,segment_num,trace_count,valid_count,mae_ms,rmse_ms,acc_4ms,acc_8ms
Halfmile_shot20221270_seg011.npz,20221270,11,199,192,56.052083333333336,83.26076006539135,26.041666666666668,34.89583333333333
Halfmile_shot20161364_seg027.npz,20161364,27,140,132,75.16666666666667,103.5908326352318,31.060606060606062,34.84848484848485
Halfmile_shot20321107_seg001.npz,20321107,1,199,181,40.87292817679558,85.36473581958163,37.569060773480665,50.82872928176796
Halfmile_shot20161384_seg013.npz,20161384,13,141,131,67.31297709923665,93.64493603928366,16.030534351145036,27.480916030534353
Halfmile_shot20021449_seg044.npz,20021449,44,99,97,68.37113402061856,148.6397429891356,31.958762886597935,49.48453608247423
Halfmile_shot20201288_seg005.npz,20201288,5,181,180,55.22222222222222,86.66358968896786,41.66666666666667,50.55555555555556
Halfmile_shot20121526_seg038.npz,20121526,38,100,99,29.373737373737374,66.35563809557335,39.39393939393939,63.63636363636363
Halfmile_shot20261222_seg009.npz,20261222,9,200,197,32.90355329949239,67.72938088845191,43.65482233502538,60.40609137055838
Halfmile_shot20161377_seg021.npz,20161377,21,140,133,26.94736842105263,56.620621127307544,21.804511278195488,45.86466165413533
Halfmile_shot20061681_seg012.npz,20061681,12,101,101,39.84158415841584,96.17846447985625,52.475247524752476,68.31683168316832
Halfmile_shot20121489_seg038.npz,20121489,38,100,97,55.36082474226804,82.29867656863294,12.371134020618557,21.649484536082475
Halfmile_shot20181332_seg000.npz,20181332,0,157,146,39.6986301369863,67.48881185816948,22.602739726027394,46.57534246575342
Halfmile_shot20241121_seg011.npz,20241121,11,199,150,33.92,72.71313498949141,26.666666666666668,38.0
Halfmile_shot20301145_seg003.npz,20301145,3,201,194,30.649484536082475,73.34272042387886,36.597938144329895,61.34020618556701
Halfmile_shot20261207_seg004.npz,20261207,4,201,138,41.27536231884058,71.15486274847014,38.405797101449274,50.72463768115942
Halfmile_shot20261204_seg009.npz,20261204,9,200,192,26.072916666666668,63.05536588321938,52.604166666666664,66.66666666666666
Halfmile_shot20281090_seg000.npz,20281090,0,197,166,39.397590361445786,64.06547855256116,33.13253012048193,48.795180722891565
Halfmile_shot20201280_seg000.npz,20201280,0,177,175,24.525714285714287,63.01673247184887,50.857142857142854,73.71428571428571
Halfmile_shot20221232_seg009.npz,20221232,9,200,198,22.666666666666668,62.271481223248365,54.04040404040404,70.70707070707071
Halfmile_shot20041633_seg044.npz,20041633,44,99,96,136.22916666666666,202.5145056532988,15.625,25.0
Halfmile_shot20141407_seg021.npz,20141407,21,121,103,43.86407766990291,64.42064434228928,18.446601941747574,33.980582524271846
Halfmile_shot20181318_seg024.npz,20181318,24,159,136,26.058823529411764,64.79197481170026,17.647058823529413,44.85294117647059
Halfmile_shot20061671_seg012.npz,20061671,12,101,93,86.02150537634408,138.91066209262252,37.634408602150536,40.86021505376344
Halfmile_shot20161379_seg017.npz,20161379,17,141,137,56.40875912408759,87.5085814352942,40.14598540145985,45.98540145985402
Halfmile_shot20101724_seg018.npz,20101724,18,101,86,51.7906976744186,105.78587411743922,58.139534883720934,63.95348837209303
Halfmile_shot20141445_seg026.npz,20141445,26,120,116,64.94827586206897,88.16422763503778,13.793103448275861,21.551724137931032
Halfmile_shot20241046_seg000.npz,20241046,0,197,146,25.19178082191781,61.27213047220359,31.506849315068493,42.465753424657535
Halfmile_shot20241095_seg004.npz,20241095,4,201,152,53.39473684210526,72.46741554512258,16.447368421052634,24.342105263157894
Halfmile_shot20201286_seg009.npz,20201286,9,181,173,27.13294797687861,54.386542027943136,53.179190751445084,63.005780346820806
Halfmile_shot20281020_seg001.npz,20281020,1,199,192,34.895833333333336,77.22774760408333,12.5,24.479166666666664
Halfmile_shot20101712_seg005.npz,20101712,5,101,99,130.84848484848484,159.52872512940777,0.0,0.0
Halfmile_shot20161362_seg017.npz,20161362,17,141,132,26.71212121212121,64.46305025737495,44.696969696969695,59.84848484848485
Halfmile_shot20321082_seg011.npz,20321082,11,199,189,50.613756613756614,108.60763807218648,28.57142857142857,41.7989417989418
Halfmile_shot20021550_seg012.npz,20021550,12,101,101,55.78217821782178,128.32400206099595,58.415841584158414,69.3069306930693
Halfmile_shot20081494_seg044.npz,20081494,44,99,94,74.42553191489361,129.2597582636722,9.574468085106384,20.212765957446805
